                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8403,                 7.9677,                 3.7401,                 1.4524,                0.00431,                0.13483,                0.06705,                0.03451,                 0.0018,                0.05618,                0.02336,                0.00246,                 1.2424,                 5.1839,                  3.707,                 1.1732,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.4236,                 5.3188,                 2.9985,                 1.1691,                0.01705,                  0.498,                0.33266,                0.25701,                0.01111,                0.32451,                0.03858,                0.00861,                 1.0815,                 5.1673,                 3.2279,                0.93549,             0.00028269,             0.00028269,             0.00028269
                      3,                 1.1493,                 3.9214,                 1.5462,                0.98065,                0.96393,                 0.2168,                0.31776,                 0.2643,                0.01398,                0.43893,                0.01441,                0.00322,                  1.089,                 5.1369,                  2.919,                0.96579,             0.00043127,             0.00043127,             0.00043127
                      4,                 1.0421,                 2.5786,                 1.3029,                0.95857,                      1,                0.12339,                 0.4344,                  0.344,                0.97723,                0.11778,                0.38553,                 0.1283,                   1.09,                 4.9237,                 2.6854,                0.99334,             0.00057912,             0.00057912,             0.00057912
                      5,                 1.1237,                 2.2063,                  1.334,                0.97538,                0.87849,                0.36517,                0.61789,                0.40486,                0.86685,                0.35393,                0.60505,                0.33153,                  1.179,                 3.9371,                 2.2979,                0.98416,             0.00072622,             0.00072622,             0.00072622
                      6,                 1.1238,                 1.9057,                 1.2825,                0.97167,                0.82675,                0.47191,                0.71121,                0.49118,                 0.9317,                0.39059,                0.69147,                0.37375,                 1.1251,                 3.2339,                 2.0273,                0.97288,             0.00087258,             0.00087258,             0.00087258
                      7,                 1.1098,                 1.8947,                 1.2471,                   0.97,                0.66713,                0.48183,                 0.6471,                0.43205,                0.66713,                0.48183,                0.64956,                0.39064,                 1.2396,                 2.5407,                 2.0001,                  1.011,              0.0010182,              0.0010182,              0.0010182
                      8,                 1.1177,                  1.734,                 1.2429,                0.97219,                0.66471,                0.57292,                0.74278,                0.49344,                0.65685,                0.56169,                0.73427,                0.48188,                 1.1935,                 2.1402,                 1.5954,                 1.0192,              0.0011631,              0.0011631,              0.0011631
                      9,                  1.131,                 1.6865,                  1.225,                0.97325,                0.72984,                0.61211,                0.76421,                0.51276,                0.71788,                0.60557,                0.75464,                0.50674,                 1.0728,                 1.8703,                 1.6228,                0.95338,              0.0013072,              0.0013072,              0.0013072
                     10,                 1.0561,                 1.5879,                 1.1204,                0.95405,                0.70795,                0.75542,                 0.7864,                0.52429,                0.69755,                0.74243,                0.77647,                0.48232,                 1.1033,                 1.7719,                 1.4242,                0.95867,              0.0014506,              0.0014506,              0.0014506
                     11,                 1.0418,                 1.5418,                 1.0565,                0.94634,                0.67696,                0.70702,                0.77807,                0.52305,                0.67213,                0.69811,                0.78052,                  0.508,                 1.0423,                 1.6387,                  1.419,                0.94791,              0.0015932,              0.0015932,              0.0015932
                     12,                 1.0897,                  1.541,                 1.1025,                0.96373,                0.70916,                0.80651,                0.82491,                0.53504,                0.69933,                0.78485,                0.79185,                0.48847,                 1.0623,                 1.6865,                 1.3266,                0.95507,              0.0016216,              0.0016216,              0.0016216
                     13,                 1.0601,                 1.6166,                 1.0754,                0.96968,                0.81519,                0.78069,                0.84391,                 0.5619,                  0.824,                0.77791,                0.85669,                0.54804,                 1.0657,                 1.5309,                 1.0833,                0.96259,              0.0016216,              0.0016216,              0.0016216
                     14,                 1.0447,                 1.5725,                 1.0851,                0.95659,                0.76104,                0.78646,                0.83927,                0.54927,                 0.7512,                0.76752,                 0.8221,                0.52097,                 1.0552,                 1.5629,                 1.1235,                0.97063,              0.0016175,              0.0016175,              0.0016175
                     15,                 1.0416,                 1.4971,                 1.0556,                0.96137,                0.74993,                0.84025,                0.82745,                0.57717,                0.74274,                0.81327,                0.81975,                0.52821,                 1.0753,                 1.6007,                 1.0276,                0.99109,              0.0016134,              0.0016134,              0.0016134
                     16,                 1.0377,                 1.5459,                0.95422,                0.94553,                0.62709,                0.71139,                0.64689,                0.44056,                0.62709,                0.71139,                0.64838,                0.43171,                 1.1097,                 1.5774,                  1.501,                0.99798,              0.0016092,              0.0016092,              0.0016092
                     17,                 1.0586,                 1.5256,                0.94288,                0.93437,                0.70294,                0.85015,                0.81077,                0.55374,                0.71519,                 0.8642,                0.83336,                0.53109,                 1.0848,                 1.5703,                 1.0218,                0.96001,              0.0016051,              0.0016051,              0.0016051
                     18,                 1.0094,                 1.4748,                0.91964,                0.93929,                0.78383,                0.80926,                0.85304,                 0.5913,                0.79397,                0.79932,                0.86126,                0.56183,                 1.0068,                 1.4586,                 1.0489,                 0.9754,               0.001601,               0.001601,               0.001601
                     19,                 1.0054,                 1.4762,                 1.0084,                0.94372,                 0.7324,                0.87831,                0.85163,                0.59662,                0.76494,                 0.8551,                0.86961,                0.56614,                 1.0343,                 1.4598,                0.96659,                0.97509,              0.0015969,              0.0015969,              0.0015969
                     20,                 0.9817,                 1.4085,                0.90545,                0.94737,                0.76575,                0.86995,                0.86415,                 0.6224,                0.76497,                0.87624,                0.87652,                0.56493,                0.97883,                 1.4548,                0.90849,                0.96377,              0.0015927,              0.0015927,              0.0015927
                     21,                 1.0081,                 1.4751,                0.90387,                0.93932,                0.77281,                0.83035,                0.86381,                0.59869,                0.77823,                0.83463,                0.87587,                0.54749,                  1.056,                 1.5519,                0.93299,                0.97572,              0.0015886,              0.0015886,              0.0015886
                     22,                0.96515,                 1.4111,                0.86685,                0.92751,                  0.775,                0.83463,                0.86749,                 0.6328,                0.78067,                0.86433,                 0.8888,                0.58605,                0.94155,                 1.4283,                 0.8928,                0.95538,              0.0015845,              0.0015845,              0.0015845
                     23,                0.94357,                 1.3767,                0.84331,                0.92482,                 0.8539,                0.82943,                0.88729,                 0.6231,                0.86505,                0.83982,                0.90001,                0.56977,                0.96981,                 1.4576,                0.90147,                0.94837,              0.0015804,              0.0015804,              0.0015804
                     24,                0.94921,                 1.3483,                0.83173,                0.91698,                0.78154,                0.82664,                0.87557,                0.58853,                0.80232,                0.80626,                0.87365,                0.52698,                 1.0566,                 1.5038,                0.99059,                0.98068,              0.0015762,              0.0015762,              0.0015762
                     25,                0.98473,                 1.3987,                0.91944,                0.92723,                0.87931,                0.80099,                0.87106,                0.61337,                0.88379,                0.80626,                 0.8997,                0.56613,                 1.0123,                  1.353,                0.94771,                0.95733,              0.0015721,              0.0015721,              0.0015721
                     26,                0.93174,                 1.2665,                0.85626,                0.94326,                0.75756,                0.77656,                0.86643,                0.61617,                0.80469,                0.77656,                 0.8788,                0.54583,                0.95057,                 1.3906,                 1.0187,                0.94381,               0.001568,               0.001568,               0.001568
                     27,                0.92619,                 1.3751,                0.90676,                0.93479,                0.71803,                0.89537,                 0.8699,                0.61722,                0.74122,                 0.9141,                0.88907,                0.54969,                0.94895,                 1.4157,                0.91735,                0.95084,              0.0015639,              0.0015639,              0.0015639
                     28,                0.93504,                 1.3451,                0.84068,                0.92288,                0.82044,                0.77161,                0.88157,                0.61802,                0.71464,                0.87521,                 0.8964,                0.54459,                0.94819,                 1.4077,                0.92436,                0.95141,              0.0015597,              0.0015597,              0.0015597
                     29,                0.92089,                 1.2918,                0.82697,                0.91729,                 0.7843,                0.85082,                 0.8896,                0.64654,                0.78548,                0.87062,                0.90607,                 0.5864,                0.90228,                 1.3453,                 0.8337,                0.93315,              0.0015556,              0.0015556,              0.0015556
                     30,                0.90679,                 1.3007,                  0.806,                0.91675,                0.77324,                0.85297,                0.86393,                0.60007,                0.77496,                0.85015,                 0.8704,                0.53134,                0.95091,                 1.3932,                0.87972,                0.94685,              0.0015515,              0.0015515,              0.0015515
                     31,                0.94185,                 1.3455,                0.79061,                0.92008,                0.82394,                0.83035,                0.88343,                0.63595,                0.83702,                0.84025,                0.89589,                  0.567,                0.93972,                 1.3988,                 0.8258,                0.94746,              0.0015474,              0.0015474,              0.0015474
                     32,                0.92403,                 1.3248,                0.79684,                 0.9117,                0.81661,                0.86081,                0.89945,                0.64895,                0.82564,                0.85934,                0.90708,                0.56487,                0.94084,                 1.3833,                0.81257,                0.94495,              0.0015432,              0.0015432,              0.0015432
                     33,                0.93302,                 1.3899,                0.77504,                 0.9146,                0.80268,                0.82319,                0.85581,                0.59144,                0.81059,                 0.8267,                0.87709,                0.53628,                0.99044,                 1.4283,                0.93781,                0.95988,              0.0015391,              0.0015391,              0.0015391
                     34,                0.92835,                 1.3459,                0.79627,                0.92066,                0.76611,                0.83836,                 0.8386,                0.59935,                0.85617,                0.77915,                 0.8615,                0.52685,                0.98861,                  1.476,                0.87702,                0.95823,               0.001535,               0.001535,               0.001535
                     35,                0.91149,                 1.2585,                0.80101,                0.94521,                0.80228,                0.87323,                0.84336,                0.59804,                0.80567,                0.87909,                0.86984,                0.56949,                  1.017,                 1.3876,                0.85705,                0.97359,              0.0015308,              0.0015308,              0.0015308
                     36,                 0.9012,                 1.2785,                  0.783,                0.92144,                0.81903,                0.84025,                 0.8859,                 0.6358,                0.79364,                0.86567,                0.90209,                0.55222,                0.94917,                 1.4321,                 0.7951,                0.93264,              0.0015267,              0.0015267,              0.0015267
                     37,                0.91766,                 1.2926,                0.76802,                0.92312,                0.81098,                0.84653,                0.89006,                0.63317,                0.80673,                0.89017,                0.90831,                0.59444,                0.93933,                 1.3614,                 0.7935,                0.93361,              0.0015226,              0.0015226,              0.0015226
                     38,                0.97933,                  1.318,                0.80201,                0.92454,                0.82876,                0.80198,                 0.8831,                0.58981,                0.78726,                0.77997,                0.85043,                0.50343,                 1.0884,                  1.577,                0.84714,                0.97805,              0.0015185,              0.0015185,              0.0015185
                     39,                0.99519,                 1.4013,                0.80878,                0.93699,                0.82486,                0.83663,                0.88134,                0.62955,                0.82047,                0.85082,                0.89194,                0.56239,                0.96157,                 1.4546,                0.78493,                0.94794,              0.0015143,              0.0015143,              0.0015143
                     40,                0.94518,                 1.3211,                0.84103,                0.93259,                0.85117,                0.82475,                0.88132,                0.62281,                 0.8268,                0.80343,                0.86105,                0.56167,                0.99799,                 1.3838,                0.80095,                0.95664,              0.0015102,              0.0015102,              0.0015102
                     41,                0.88797,                 1.2917,                0.75858,                0.91266,                0.87938,                0.84587,                0.88934,                0.63768,                0.87553,                0.85431,                0.90562,                0.58171,                0.95675,                 1.3628,                0.74345,                0.94417,              0.0015061,              0.0015061,              0.0015061
                     42,                0.92491,                    1.3,                0.75041,                0.92538,                0.83144,                0.85562,                0.88178,                0.62848,                0.81716,                 0.8551,                0.88749,                0.59246,                 0.9759,                 1.3269,                0.75294,                0.95478,               0.001502,               0.001502,               0.001502
                     43,                0.88789,                 1.2083,                0.72361,                0.90776,                0.75181,                0.84907,                 0.8401,                 0.6108,                0.77344,                0.86379,                0.86678,                0.56327,                0.94586,                 1.3558,                0.81959,                0.94776,              0.0014978,              0.0014978,              0.0014978
                     44,                0.88677,                 1.2542,                0.73322,                0.89462,                0.82179,                0.87133,                0.86463,                0.63745,                0.81822,                0.87115,                0.88224,                 0.5741,                0.92044,                 1.4313,                0.75272,                0.94778,              0.0014937,              0.0014937,              0.0014937
                     45,                0.87407,                  1.272,                0.72942,                0.91081,                0.77805,                0.86433,                 0.8556,                0.63687,                0.81375,                0.86851,                0.88963,                0.59475,                0.91702,                 1.3689,                0.74122,                0.92984,              0.0014896,              0.0014896,              0.0014896
                     46,                0.85888,                 1.2238,                0.73922,                0.90643,                0.82511,                 0.8879,                0.88369,                0.64716,                0.81591,                0.87574,                0.89093,                0.59787,                 0.8888,                 1.3639,                0.73662,                0.92376,              0.0014855,              0.0014855,              0.0014855
                     47,                0.86437,                 1.2173,                0.72757,                0.89688,                0.80275,                0.89914,                0.89234,                0.65332,                0.80304,                0.89903,                 0.8983,                0.59303,                0.90864,                 1.3807,                0.69353,                0.92769,              0.0014813,              0.0014813,              0.0014813
                     48,                0.90423,                 1.3691,                0.71914,                0.91948,                0.76278,                0.86433,                0.85759,                0.63357,                0.79408,                0.82473,                0.87323,                0.59027,                0.97293,                 1.3623,                0.76825,                0.95026,              0.0014772,              0.0014772,              0.0014772
                     49,                0.91284,                 1.3028,                0.71389,                0.91095,                0.86797,                0.84737,                0.89587,                0.66828,                0.87916,                0.85663,                0.91184,                0.61557,                0.90881,                 1.2967,                0.70716,                0.92892,              0.0014731,              0.0014731,              0.0014731
                     50,                0.84534,                 1.2661,                0.69546,                0.89345,                0.84001,                0.86005,                 0.8999,                0.65205,                0.85094,                  0.865,                0.91777,                0.59952,                0.98284,                 1.3954,                0.70166,                0.95274,               0.001469,               0.001469,               0.001469
                     51,                0.87923,                 1.3131,                0.70602,                0.90874,                0.81521,                0.88547,                0.88229,                0.64792,                0.84208,                0.88052,                0.90308,                0.58359,                0.93223,                 1.3382,                0.74358,                0.94378,              0.0014648,              0.0014648,              0.0014648
                     52,                0.87936,                 1.2777,                0.68537,                0.90106,                0.86023,                0.87557,                0.90205,                0.65249,                0.86562,                0.88052,                0.92012,                0.58978,                 0.9824,                 1.3843,                0.72224,                0.95593,              0.0014607,              0.0014607,              0.0014607
                     53,                0.91614,                 1.3175,                 0.7058,                0.91275,                0.86531,                0.84749,                0.90662,                0.65895,                 0.8835,                0.83597,                 0.9194,                0.58268,                0.93087,                 1.3091,                0.71099,                0.94536,              0.0014566,              0.0014566,              0.0014566
                     54,                0.85537,                 1.2055,                0.64998,                0.90838,                0.83581,                0.84587,                0.90598,                0.64557,                0.82321,                 0.8353,                0.90312,                0.60643,                0.98436,                 1.3075,                0.72942,                0.94778,              0.0014525,              0.0014525,              0.0014525
                     55,                0.86405,                 1.2465,                0.65251,                0.90201,                0.86287,                0.82106,                0.90346,                0.64803,                0.86071,                0.81121,                0.88384,                0.56551,                0.91944,                  1.337,                 0.7153,                 0.9283,              0.0014483,              0.0014483,              0.0014483
                     56,                0.88051,                 1.2367,                0.71107,                0.91794,                0.81987,                0.84092,                 0.8929,                0.64742,                 0.8235,                0.85281,                0.90582,                0.59684,                0.93241,                 1.3711,                 0.7188,                0.93093,              0.0014442,              0.0014442,              0.0014442
                     57,                0.83503,                 1.1998,                0.65169,                0.89593,                0.79128,                0.86139,                0.88915,                0.61635,                0.75189,                0.83597,                 0.8699,                0.53074,                0.94157,                 1.3825,                0.79356,                 0.9373,              0.0014401,              0.0014401,              0.0014401
                     58,                0.85788,                 1.2415,                0.66188,                 0.8974,                0.80077,                0.86139,                0.88493,                0.63201,                0.79083,                0.86072,                0.89288,                0.55033,                0.92299,                 1.3682,                0.75021,                0.95359,               0.001436,               0.001436,               0.001436
                     59,                0.84421,                 1.2516,                0.68268,                 0.9039,                0.80232,                0.88648,                0.89222,                0.65549,                0.81069,                0.89042,                0.91383,                0.59371,                 0.8943,                 1.3317,                0.68482,                 0.9472,              0.0014318,              0.0014318,              0.0014318
                     60,                0.83617,                 1.2161,                0.66632,                0.90424,                0.83213,                0.83035,                 0.8701,                0.65528,                0.85043,                0.84453,                0.89889,                0.61353,                0.92062,                 1.3264,                0.69939,                0.94616,              0.0014277,              0.0014277,              0.0014277
                     61,                  0.867,                 1.2306,                 0.6717,                0.91071,                0.79302,                0.85015,                 0.8845,                0.64941,                0.79503,                0.85212,                0.88962,                0.59134,                0.90739,                 1.3726,                0.70367,                0.93602,              0.0014236,              0.0014236,              0.0014236
                     62,                0.88872,                 1.2405,                0.69296,                0.91309,                  0.837,                0.84158,                0.87732,                0.63475,                0.84152,                0.82892,                0.89146,                0.56806,                0.96293,                 1.3934,                 0.7128,                 0.9444,              0.0014195,              0.0014195,              0.0014195
                     63,                0.86478,                 1.1878,                0.68614,                0.91895,                0.82816,                0.85149,                0.87976,                0.64812,                0.83646,                0.86139,                0.89778,                0.60595,                0.92096,                 1.4816,                0.68607,                0.94123,              0.0014153,              0.0014153,              0.0014153
                     64,                0.89803,                  1.258,                0.70174,                0.90837,                0.83855,                0.89042,                0.90058,                0.66066,                0.83855,                0.89042,                0.89682,                0.58145,                0.96435,                 1.3742,                0.68035,                 0.9446,              0.0014112,              0.0014112,              0.0014112
                     65,                0.88203,                 1.2478,                0.66467,                0.90363,                0.82992,                0.89987,                0.89577,                0.65432,                0.83987,                0.90926,                0.91441,                0.60754,                0.91121,                 1.3429,                0.69959,                0.93966,              0.0014071,              0.0014071,              0.0014071
                     66,                 0.8435,                 1.2106,                0.63103,                0.89883,                0.82636,                0.87557,                 0.9049,                0.66146,                0.81418,                0.91022,                0.91698,                0.60197,                 0.8763,                 1.3028,                0.67242,                0.92943,              0.0014029,              0.0014029,              0.0014029
                     67,                0.80154,                 1.1685,                0.63647,                 0.8938,                0.82714,                0.88547,                0.90589,                 0.6601,                 0.8441,                0.89537,                0.92395,                0.58423,                0.91696,                 1.3501,                0.67487,                0.93635,              0.0013988,              0.0013988,              0.0013988
                     68,                0.90537,                 1.2215,                0.79887,                0.90885,                0.83526,                 0.8959,                0.90744,                0.65055,                 0.8488,                0.89577,                0.92318,                0.58427,                0.93305,                 1.3541,                0.66371,                0.94438,              0.0013947,              0.0013947,              0.0013947
                     69,                0.85023,                 1.1949,                0.61595,                0.90092,                0.80797,                0.92574,                 0.9084,                 0.6549,                0.79492,                0.91058,                0.90722,                0.56868,                0.93641,                 1.4056,                0.67831,                0.94228,              0.0013906,              0.0013906,              0.0013906
                     70,                0.84828,                 1.2151,                0.62889,                0.89066,                0.83852,                0.90194,                0.90256,                0.66179,                0.83893,                0.90099,                0.90297,                0.59299,                0.90787,                 1.3191,                0.67437,                0.94183,              0.0013864,              0.0013864,              0.0013864
                     71,                0.83916,                 1.1903,                0.65033,                0.88931,                  0.839,                0.90032,                 0.9037,                0.64315,                0.82858,                0.87688,                 0.8958,                0.56626,                0.97144,                  1.329,                0.66809,                0.94545,              0.0013823,              0.0013823,              0.0013823
                     72,                0.83781,                 1.1554,                0.59513,                0.90052,                0.85233,                0.88547,                0.91362,                 0.6779,                0.83489,                0.88388,                0.89676,                0.59988,                0.89834,                 1.3244,                0.63491,                0.92949,              0.0013782,              0.0013782,              0.0013782
                     73,                0.86089,                 1.2416,                0.61413,                0.90485,                0.81126,                0.89604,                0.91075,                0.66661,                0.81251,                0.89042,                0.90108,                0.58356,                 0.9203,                 1.2924,                0.65027,                0.94194,              0.0013741,              0.0013741,              0.0013741
                     74,                0.82957,                 1.1705,                0.59645,                0.88268,                0.78355,                0.89604,                0.90208,                0.65849,                0.77438,                0.87129,                0.88785,                0.58328,                0.97409,                 1.3884,                0.67468,                0.95983,              0.0013699,              0.0013699,              0.0013699
                     75,                 0.8168,                 1.1169,                0.58959,                0.89008,                 0.8127,                0.89947,                0.90608,                0.67513,                0.82332,                0.90919,                0.92362,                0.61729,                 0.9095,                 1.2483,                0.65945,                0.94461,              0.0013658,              0.0013658,              0.0013658
                     76,                0.82777,                 1.1941,                0.59834,                0.90153,                 0.8521,                0.87776,                0.90357,                0.66023,                0.84663,                0.87281,                0.91797,                0.57964,                0.94993,                  1.444,                0.68109,                0.94854,              0.0013617,              0.0013617,              0.0013617
                     77,                0.83356,                 1.2145,                0.62687,                 0.8888,                0.84714,                0.86567,                0.89617,                0.66636,                0.84714,                0.86567,                0.91396,                0.60881,                0.91047,                 1.3053,                0.65296,                0.93393,              0.0013576,              0.0013576,              0.0013576
                     78,                0.83559,                  1.158,                 0.6072,                0.90186,                 0.8563,                0.83958,                0.88279,                 0.6428,                 0.8563,                0.83958,                0.88741,                0.58003,                0.90677,                 1.3833,                0.69013,                0.94577,              0.0013534,              0.0013534,              0.0013534
                     79,                0.83067,                 1.1911,                0.61737,                0.89457,                0.82267,                 0.8845,                0.87207,                0.64785,                0.80812,                0.86898,                0.87778,                0.59077,                0.88789,                 1.2416,                0.67489,                0.94429,              0.0013493,              0.0013493,              0.0013493
                     80,                0.78865,                 1.0969,                0.63014,                0.88708,                0.83612,                0.85586,                0.90009,                0.67483,                0.84748,                 0.8654,                0.90827,                0.60327,                0.86832,                 1.2903,                0.64119,                0.92757,              0.0013452,              0.0013452,              0.0013452
                     81,                0.85311,                 1.2153,                0.60649,                0.88359,                0.86067,                0.85505,                0.89008,                0.67057,                0.87165,                0.86451,                0.90573,                0.60753,                0.92982,                 1.3749,                0.67272,                0.94164,              0.0013411,              0.0013411,              0.0013411
